Trinidad and Tobago,Chaguanas,10∞30'N,61∞23'W
United States,Los Angeles,34∞03'N,118∞15'W
New Zealand,Alofi,19∞03'S,169∞55'W
Brazil,CuiabÃ¡,15∞36'S,56∞06'W
Venezuela,Maracaibo,10∞39'N,71∞38'W
Peru,Lima,12∞03'S,77∞02'W
China,Changchun,43∞54'N,125∞12'E
India,Dibrugarh,27∞29'N,95∞00'E
Serbia,Å abac,44∞45'N,19∞42'E
Sweden,Haparanda,65∞50'N,24∞08'E
India,Hyderabad,17∞22'N,78∞29'E
Bolivia,Sucre,19∞03'S,65∞15'W
Japan,Sapporo,43∞04'N,141∞21'E
Bulgaria,Sofia,42∞42'N,23∞20'E
Costa Rica,San JosÃ©,9∞56'N,84∞05'W
France,Marseille,43∞18'N,5∞22'E
India,Agra,27∞11'N,78∞01'E
United States,Charleston,32∞47'N,79∞56'W
Egypt,Port Said,31∞15'N,32∞17'E
Australia,Darwin,12∞27'S,130∞50'E
United Kingdom,London,51∞30'N,0∞08'W
United Kingdom,The Valley,18∞13'N,63∞03'W
Japan,Akita,39∞43'N,140∞07'E
Argentina,Rosario,32∞57'S,60∞40'W
United Kingdom,Portsmouth,50∞49'N,1∞05'W
Japan,Okayama,34∞39'N,133∞55'E
Russia,Ufa,54∞45'N,55∞58'E
Japan,Shizuoka,34∞59'N,138∞23'E
Latvia,Riga,56∞57'N,24∞06'E
United States,Boston,42∞21'N,71∞04'W
Cuba,Havana,23∞08'N,82∞23'W
Denmark,Odense,55∞24'N,10∞23'E
United Kingdom,Plymouth,50∞22'N,4∞09'W
Japan,Kushiro,42∞59'N,144∞23'E
Bhutan,Thimphu,27∞28'N,89∞39'E
Spain,Barcelona,41∞23'N,2∞11'E
China,Hong Kong,22∞17'N,114∞10'E
Russia,Chelyabinsk,55∞09'N,61∞23'E
Guinea-Bissau,Bissau,11∞51'N,15∞34'W
North Korea,Kaesong,37∞58'N,126∞33'E
Mozambique,Maputo,25∞58'S,32∞35'E
United States,Tulsa,36∞08'N,95∞56'W
Sweden,Kiruna,67∞51'N,20∞13'E
New Zealand,Christchurch,43∞32'S,172∞37'E
India,Ahmedabad,23∞02'N,72∞35'E
Canada,Winnipeg,49∞54'N,97∞08'W
Libya,Sabha,27∞02'N,14∞26'E
United States,Pierre,44∞22'N,100∞20'W
Mexico,CancÃºn,21∞10'N,86∞51'W
Chile,Hanga Roa,27∞09'S,109∞26'W
United Kingdom,Douglas,54∞09'N,4∞29'W
Bangladesh,Dhaka,23∞42'N,90∞23'E
Japan,Kumamoto,32∞47'N,130∞44'E
Brazil,Garanhuns,8∞53'S,36∞30'W
Australia,Sydney,33∞52'S,151∞13'E
United Kingdom,Gibraltar,36∞08'N,5∞21'W
Russia,Izhevsk,56∞50'N,53∞11'E
Sri Lanka,Batticaloa,7∞43'N,81∞42'E
Cambodia,Siem Reap,13∞22'N,103∞52'E
Botswana,Francistown,21∞10'S,27∞31'E
United States,Birmingham,33∞39'N,86∞49'W
China,Shenzhen,22∞33'N,114∞06'E
India,Pune,18∞31'N,73∞51'E
Nigeria,Benin City,6∞19'N,5∞36'E
Burkina Faso,Ouagadougou,12∞21'N,1∞32'W
Mongolia,Ulan Bator,47∞55'N,106∞55'E
Peru,Arequipa,16∞24'S,71∞32'W
United Kingdom,Rothera,67∞34'S,68∞08'W
United States,Bismarck,46∞49'N,100∞47'W
Mexico,CuliacÃ¡n,24∞48'N,107∞23'W
Japan,Saga,33∞16'N,130∞18'E
Japan,Yokohama,35∞27'N,139∞38'E
Swaziland,Manzini,26∞29'S,31∞22'E
South Africa,Bloemfontein,29∞07'S,26∞13'E
Peru,Cusco,13∞32'S,71∞58'W
Brazil,Rio de Janeiro,22∞55'S,43∞12'W
South Africa,Kimberley,28∞45'S,24∞46'E
United States,Hartford,41∞46'N,72∞40'W
Colombia,Santiago de Cali,3∞25'N,76∞31'W
Sweden,Boden,65∞50'N,21∞43'E
United Kingdom,Cockburn Town,21∞28'N,71∞08'W
India,Ludhiana,30∞55'N,75∞51'E
Brazil,SÃ£o JosÃ© do Rio Preto,20∞48'S,49∞23'W
Tanzania,Dodoma,6∞10'S,35∞45'E
Japan,Chiba,35∞36'N,140∞06'E
India,Nagpur,21∞08'N,79∞05'E
Taiwan,Tainan,22∞59'N,120∞11'E
Russia,Sochi,43∞35'N,39∞43'E
Netherlands,Utrecht,52∞06'N,5∞07'E
Montenegro,Podgorica,42∞26'N,19∞16'E
Japan,Matsuyama,33∞50'N,132∞46'E
Brazil,BelÃ©m,1∞27'S,48∞30'W
Russia,Krasnodar,45∞02'N,38∞58'E
El Salvador,San Salvador,13∞41'N,89∞11'W
Russia,Magadan,59∞34'N,150∞48'E
Brazil,Salvador,12∞58'S,38∞29'W
Qatar,Doha,25∞17'N,51∞32'E
Brazil,Campina Grande,7∞14'S,35∞53'W
Canada,Toronto,43∞42'N,79∞24'W
Australia,Perth,31∞57'S,115∞52'E
India,Patna,25∞37'N,85∞09'E
Mali,Koulikoro,12∞52'N,7∞34'W
Japan,Toyama,36∞42'N,137∞13'E
Netherlands,Oranjestad,12∞31'N,70∞02'W
Malta,Valletta,35∞54'N,14∞31'E
Guinea,NzÃ©rÃ©korÃ©,7∞45'N,8∞49'W
Zimbabwe,Harare,17∞52'S,31∞02'E
Guatemala,Quetzaltenango,14∞50'N,91∞31'W
Norway,Oslo,59∞57'N,10∞45'E
Kazakhstan,Astana,51∞10'N,71∞26'E
Portugal,Funchal,32∞39'N,16∞55'W
Brazil,Imperatriz,5∞32'S,47∞29'W
Peru,Iquitos,3∞44'S,73∞15'W
Russia,Kaliningrad,54∞43'N,20∞31'E
United States,Hilo,19∞42'N,155∞05'W
Japan,Yamaguchi,34∞11'N,131∞28'E
South Korea,Busan,35∞11'N,129∞05'E
Argentina,Comodoro Rivadavia,45∞52'S,67∞29'W
United States,Wichita,37∞41'N,97∞20'W
Japan,Nagano,36∞38'N,138∞11'E
Brazil,MaceiÃ_,9∞40'S,35∞44'W
Maluku,Ambon,3∞42'S,128∞10'E
Ireland,Dublin,53∞21'N,6∞16'W
Mexico,LeÃ_n,21∞07'N,101∞41'W
Estonia,Tallinn,59∞26'N,24∞45'E
Philippines,Manila,14∞35'N,120∞58'E
Somalia,Mogadishu,2∞02'N,45∞21'E
Japan,Kawasaki,35∞31'N,139∞42'E
Georgia,Tbilisi,41∞43'N,44∞47'E
India,Guwahati,26∞11'N,91∞44'E
United States,Columbus,39∞59'N,82∞59'W
Vanuatu,Port Vila,17∞45'S,168∞18'E
Nicaragua,Managua,12∞08'N,86∞15'W
Uganda,Entebbe,0∞03'N,32∞28'E
Russia,Verkhoyansk,67∞33'N,133∞23'E
Russia,Murmansk,68∞58'N,33∞05'E
Russia,Tolyatti,53∞31'N,49∞25'E
Canada,Montreal,45∞30'N,73∞34'W
United States,Providence,41∞49'N,71∞25'W
Japan,Wakkanai,45∞25'N,141∞40'E
Papua New Guinea,Port Moresby,9∞31'S,147∞13'E
Turkey,Istanbul,41∞01'N,28∞57'E
Norway,HonningsvÃ¥g,70∞59'N,25∞59'E
Luxembourg,Luxembourg,49∞37'N,6∞07'E
United States,Sitka,57∞03'N,135∞20'W
Australia,Port Hedland,20∞19'S,118∞36'E
Japan,KÅçfu,35∞40'N,138∞34'E
Egypt,Cairo,30∞03'N,31∞14'E
Spain,San SebastiÃ¡n,43∞19'N,2∞00'W
Belize,Belmopan,17∞15'N,88∞46'W
United States,New Orleans,29∞58'N,90∞03'W
United States,Pago Pago,14∞17'S,170∞42'W
Sudan,Khartoum,15∞38'N,32∞32'E
India,Kanpur,26∞28'N,80∞20'E
Angola,Huambo,12∞46'S,15∞44'E
Tonga,NukuÊ»alofa,21∞08'S,175∞12'W
Austria,Vienna,48∞13'N,16∞22'E
Canada,Saskatoon,52∞08'N,106∞41'W
United States,Lincoln,40∞49'N,96∞41'W
Brazil,SÃ£o JosÃ© dos Campos,23∞11'S,45∞53'W
Japan,KÅçbe,34∞41'N,135∞12'E
Russia,Dikson,73∞30'N,80∞31'E
United Arab Emirates,Abu Dhabi,24∞28'N,54∞22'E
Syria,Latakia,35∞31'N,35∞47'E
Russia,Moscow,55∞45'N,37∞37'E
Libya,Benghazi,32∞07'N,20∞04'E
Norway,Trondheim,63∞26'N,10∞24'E
Canada,Kamloops,50∞41'N,120∞20'W
Indonesia,Semarang,6∞58'S,110∞25'E
Poland,Gdynia,54∞30'N,18∞33'E
Canada,Fort McMurray,56∞44'N,111∞23'W
China,Shijiazhuang,38∞03'N,114∞30'E
Australia,Wollongong,34∞26'S,150∞53'E
China,Qingdao,36∞04'N,120∞23'E
Sri Lanka,Colombo,6∞56'N,79∞51'E
India,Trivandrum,8∞29'N,76∞57'E
Italy,Messina,38∞11'N,15∞33'E
Chile,Puerto AisÃ©n,45∞24'S,72∞41'W
Costa Rica,Limon,9∞59'N,83∞02'W
Maldives,MalÃ©,4∞11'N,73∞31'E
Somalia,Kismayo,0∞21'S,42∞33'E
Sweden,MalmÃ¶,55∞35'N,13∞02'E
Senegal,ThiÃ¨s,14∞47'N,16∞55'W
Armenia,Yerevan,40∞11'N,44∞31'E
United States,Adak,51∞53'N,176∞39'W
Netherlands,Haarlem,52∞23'N,4∞38'E
Brazil,IlhÃ©us,14∞47'S,39∞03'W
Chad,Moundou,8∞34'N,16∞05'E
United States,Charlotte Amalie,18∞21'N,64∞57'W
Saudi Arabia,Medina,24∞28'N,39∞36'E
Finland,Helsinki,60∞10'N,24∞56'E
Brazil,JoÃ£o Pessoa,7∞05'S,34∞50'W
Japan,Maebashi,36∞23'N,139∞04'E
Indonesia,Pontianak,0∞01'S,109∞20'E
Brazil,Petrolina,9∞24'S,40∞30'W
France,Saint-Pierre,46∞47'N,56∞11'W
Malaysia,Kuching,1∞34'N,110∞21'E
Germany,Kiel,54∞20'N,10∞08'E
Serbia,Novi Sad,45∞15'N,19∞51'E
Portugal,Ponta Delgada,37∞49'N,25∞45'W
Chile,CopiapÃ_,27∞22'S,70∞20'W
Brazil,MacapÃ¡,0∞02'N,51∞04'W
Finland,PudasjÃ_rvi,65∞22'N,27∞00'E
Indonesia,Jakarta,6∞12'S,106∞48'E
India,Mumbai,18∞59'N,72∞50'E
India,Kochi,9∞58'N,76∞17'E
Japan,ÅŒtsu,35∞01'N,135∞51'E
Japan,Hakodate,41∞46'N,140∞44'E
Gambia,Brikama,13∞16'N,16∞39'W
Ecuador,Guayaquil,2∞11'S,79∞53'W
Malaysia,Malacca Town,2∞12'N,102∞15'E
Ireland,Cork,51∞54'N,8∞28'W
Canada,Whitehorse,60∞43'N,135∞03'W
Greece,Heraklion,35∞20'N,25∞08'E
Seychelles,Victoria,4∞37'S,55∞27'E
United States,Pittsburgh,40∞27'N,80∞00'W
Germany,Stuttgart,48∞47'N,9∞11'E
Timor-Leste,Dili,8∞33'S,125∞35'E
Romania,Craiova,44∞20'N,23∞49'E
United Kingdom,Derby,52∞55'N,1∞28'W
France,Fort-de-France,14∞36'N,61∞05'W
United States,Jacksonville,30∞20'N,81∞40'W
China,Lhasa,29∞39'N,91∞06'E
Botswana,Gaborone,24∞39'S,25∞55'E
Netherlands,Leiden,52∞10'N,4∞29'E
Mexico,Mexicali,32∞40'N,115∞28'W
Mexico,Chihuahua,28∞38'N,106∞05'W
Zambia,Ndola,12∞58'S,28∞38'E
Chile,ValparaÃ_so,33∞03'S,71∞37'W
Sweden,LuleÃ¥,65∞35'N,22∞09'E
Indonesia,Banda Aceh,5∞33'N,95∞19'E
Malawi,Lilongwe,13∞59'S,33∞47'E
South Africa,Cape Town,33∞56'S,18∞25'E
Japan,Nara,34∞41'N,135∞48'E
India,Port Blair,11∞40'N,92∞46'E
Namibia,Windhoek,22∞34'S,17∞05'E
Philippines,Davao City,7∞04'N,125∞36'E
India,Lucknow,26∞51'N,80∞57'E
Finland,Utsjoki,69∞54'N,27∞01'E
United Kingdom,Swansea,51∞37'N,3∞57'W
Turkmenistan,Ashgabat,37∞56'N,58∞22'E
Brazil,Recife,8∞03'S,34∞54'W
South Africa,Pietermaritzburg,29∞37'S,30∞23'E
United States,Little Rock,34∞44'N,92∞20'W
United States,Minneapolis,44∞59'N,93∞16'W
India,Chandigarh,30∞45'N,76∞47'E
Russia,Yakutsk,62∞02'N,129∞44'E
Japan,KÅçchi,33∞34'N,133∞32'E
Argentina,Esperanza,63∞24'S,56∞59'W
United States,San Antonio,29∞25'N,98∞30'W
Spain,Santa Cruz de Tenerife,28∞28'N,16∞15'W
United Kingdom,Newcastle upon Tyne,54∞58'N,1∞37'W
Hungary,Budapest,47∞28'N,19∞03'E
Argentina,San Miguel de TucumÃ¡n,26∞49'S,65∞13'W
Egypt,Alexandria,31∞12'N,29∞55'E
Chile,Arica,18∞29'S,70∞20'W
Gambia,Banjul,13∞27'N,16∞35'W
United States,Helena,46∞36'N,112∞02'W
Germany,Frankfurt am Main,50∞07'N,8∞41'E
Chile,La Serena,29∞54'S,71∞15'W
Indonesia,Balikpapan,1∞16'S,116∞50'E
Ecuador,Quito,0∞15'S,78∞35'W
Australia,Rockhampton,23∞23'S,150∞31'E
Denmark,Esbjerg,55∞29'N,8∞27'E
Canada,Quebec City,46∞49'N,71∞13'W
Pakistan,Islamabad,33∞43'N,73∞04'E
Japan,Nagasaki,32∞47'N,129∞52'E
Tajikistan,Dushanbe,38∞32'N,68∞47'E
Japan,Morioka,39∞41'N,141∞09'E
United Kingdom,Hamilton,32∞18'N,64∞47'W
South Africa,Port Elizabeth,33∞57'S,25∞36'E
Belgium,Antwerp,51∞13'N,4∞24'E
France,Bordeaux,44∞50'N,0∞35'W
Portugal,Porto,41∞10'N,8∞37'W
Egypt,Suez,29∞58'N,32∞33'E
Angola,Luanda,8∞50'S,13∞14'E
United States,Springfield,37∞12'N,93∞17'W
France,Toulouse,43∞36'N,1∞27'E
Norway,Hammerfest,70∞40'N,23∞41'E
Australia,Melbourne,37∞49'S,144∞58'E
Brazil,Campo Grande,20∞28'S,54∞37'W
United States,Baltimore,39∞17'N,76∞37'W
United States,Tampa,27∞57'N,82∞28'W
United States,Tucson,32∞13'N,110∞56'W
Sri Lanka,Kandy,7∞18'N,80∞38'E
Palestine,Gaza,31∞31'N,34∞27'E
France,Nantes,47∞13'N,1∞33'W
Norway,VadsÃ¸,70∞05'N,29∞44'E
Brazil,SÃ£o LuÃ_s,2∞32'S,44∞18'W
United Kingdom,Aberdeen,57∞09'N,4∞07'W
Philippines,Quezon City,14∞38'N,121∞02'E
United States,Anchorage,61∞13'N,149∞54'W
Mexico,MÃ©rida,20∞58'N,89∞37'W
Mexico,Hermosillo,29∞06'N,110∞57'W
Pakistan,Faisalabad,31∞25'N,73∞05'E
Canada,Calgary,51∞03'N,114∞04'W
Cuba,Santiago de Cuba,20∞01'N,75∞49'W
Tanzania,Zanzibar City,6∞10'S,39∞12'E
Brazil,Assis,22∞40'S,50∞25'W
India,Tezpur,26∞38'N,92∞48'E
United Kingdom,Norwich,52∞38'N,1∞18'E
Germany,Bremen,53∞05'N,8∞48'E
Tuvalu,Nukulaelae,9∞23'S,179∞51'E
Denmark,Qaanaaq,77∞28'N,69∞14'W
Denmark,Nuuk (GodthÃ¥b),64∞11'N,51∞44'W
Russia,Anadyr,64∞44'N,177∞31'E
Netherlands,Groningen,53∞13'N,6∞33'E
North Korea,Pyongyang,39∞01'N,125∞44'E
Libya,Tripoli,32∞54'N,13∞11'E
Argentina,Mendoza,32∞53'S,68∞49'W
Fiji,Rabi Island,16∞30'S,180∞00'W
Indonesia,Malang,7∞59'S,112∞37'E
Marshall Islands,Majuro,7∞04'N,171∞16'E
Chile,ConcepciÃ_n,36∞50'S,73∞03'W
China,Qiqihar,47∞26'N,123∞27'E
Finland,JyvÃ_skylÃ_,62∞15'N,25∞45'E
Somalia,Hargeisa,9∞33'N,44∞4'E
United Kingdom,Bradford,53∞48'N,1∞45'W
India,Siliguri,26∞43'N,88∞26'E
